track_id,artist_name,track_name,album_name,album_release_date,duration_ms,explicit,track_number,disc_number,track_popularity,album_popularity,track_vs_album_popularity,artist_popularity,artist_followers,album_vs_artist_popularity,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,energy_danceability_score
3wbOwP4Atz863b5K4GSvBr,Trapbaby RiChNRollxn,Keep It P (Oh Now They Know Me),We The Business,2025-03-18,100101,1,4,1,3,12,0.5714285714285714,8,31,1.0,151.118,0,1,0.685,0.667,-4.495,0.163,0.271,2.3e-06,0.262,0.688,0.45689500000000005
3wbP5NSmXXhQMb2z7EeVSN,Bolañito,Asi Como Voy,100% Éxitos,2007-02-28,348040,0,1,1,9,17,0.9264705882352942,29,8367,1.1955582973473164,116.026,1,0,0.688,0.75,-6.447,0.119,0.218,0.0,0.157,0.659,0.516
3wbP5kTNLiVVq7AJxyBpRd,Nele. Mein ganz normales Leben,7 Eine schwere Entscheidung - 02: Nice! Du bist schön!,02: Nice! Du bist schön!,2020-01-09,320500,0,7,1,1,2,1.0,3,203,0.8571428571428571,129.673,8,1,0.706,0.456,-10.278,0.942,0.755,0.0,0.121,0.547,0.321936
3wbP8nhoVLayxegGQVsa0T,Timmy Bow,Who Are You? - Merecumbe Soul Dub,The Sound of Porto Cervo,2022-07-08,188852,0,30,1,7,15,1.2024539877300613,30,340,1.007380073800738,122.005,7,0,0.646,0.74,-7.789,0.0358,0.0208,0.976,0.0943,0.586,0.47804
3wbPD4zFIH8OjoHCAdvD2V,Juf Roos,Poesje Mauw,Op reis naar de regenboog (Alle liedjes uit de film),2023-07-19,68800,0,8,1,27,35,0.9854014598540146,61,39894,1.6645013975827725,74.971,1,1,0.815,0.257,-13.238,0.0396,0.382,0.011,0.109,0.607,0.209455
3wbPEbDvf4rZtvmav4BOlI,Carl Mason,Part 2 - Chapter 8.5 - 1984,1984 (Nineteen Eighty Four),2023-10-27,181044,0,120,1,1,18,0.6971153846153846,16,97,1.0227272727272727,83.685,1,0,0.719,0.184,-19.919,0.901,0.115,0.0,0.555,0.737,0.132296
3wbPEbDvf4rZtvmav4BOlI,English Audiobooks,Part 2 - Chapter 8.5 - 1984,1984 (Nineteen Eighty Four),2023-10-27,181044,0,120,1,1,18,0.6971153846153846,25,1738,1.0227272727272727,83.685,1,0,0.719,0.184,-19.919,0.901,0.115,0.0,0.555,0.737,0.132296
3wbPEbDvf4rZtvmav4BOlI,George Orwell,Part 2 - Chapter 8.5 - 1984,1984 (Nineteen Eighty Four),2023-10-27,181044,0,120,1,1,18,0.6971153846153846,39,10150,0.7290877796901893,83.685,1,0,0.719,0.184,-19.919,0.901,0.115,0.0,0.555,0.737,0.132296
3wbPGoqnFD9xXrDLkvpW5O,Pamela Jain,Shiv Meri Pooja,Shiv Meri Pooja,2023-02-22,671218,0,1,1,5,1,1.0,52,366269,0.08150761232825844,118.023,1,1,0.656,0.77,-3.29,0.0284,0.282,0.0,0.122,0.793,0.50512
3wbPUFAQlR8t9ozHMPH5jM,Maciel Salu,A Corda do Caranguejo,A Corda do Caranguejo,2025-02-16,222371,0,1,1,12,5,1.0,2,7,1.0,159.951,0,0,0.64,0.614,-11.373,0.201,0.265,0.0,0.105,0.824,0.39296
3wbPUFAQlR8t9ozHMPH5jM,Nailson Vieira,A Corda do Caranguejo,A Corda do Caranguejo,2025-02-16,222371,0,1,1,12,5,1.0,8,461,1.1764705882352942,159.951,0,0,0.64,0.614,-11.373,0.201,0.265,0.0,0.105,0.824,0.39296
3wbPYujIr2rmU6fBzDG3Ex,Brian McClellan,Kapitel 362 - Blutschwur - Die Powder-Mage-Chroniken 1,Blutschwur [Die Powder-Mage-Chroniken 1 (Ungekürzt)],2019-01-18,191293,0,160,2,1,19,0.9968051118210862,26,549,1.0082578397212543,173.854,5,0,0.625,0.264,-16.323,0.968,0.802,0.0,0.368,0.426,0.165
3wbPYujIr2rmU6fBzDG3Ex,Robert Frank,Kapitel 362 - Blutschwur - Die Powder-Mage-Chroniken 1,Blutschwur [Die Powder-Mage-Chroniken 1 (Ungekürzt)],2019-01-18,191293,0,160,2,1,19,0.9968051118210862,49,480,0.7523426279468945,173.854,5,0,0.625,0.264,-16.323,0.968,0.802,0.0,0.368,0.426,0.165
3wbPZ2rne2Fzcs5yLVLyhT,"Dominik Hauser, Katie Campbell",Star Trek Enterprise: Where My Heart Will Take Me,A Star Beyond Time: Popular Songs From Sci-fi And Fantasy,2020-10-30,242035,0,10,1,1,14,0.14634146341463417,12,192,1.0,127.914,7,1,0.538,0.478,-8.608,0.0301,0.0672,0.0,0.226,0.275,0.257164
3wbPaI0NMqmpStyvvcGux5,Luxx Moon,Prospect,Legends Don T Sleep,2025-06-22,132250,0,10,1,7,15,1.0,7,0,1.0,149.174,2,1,0.605,0.821,-13.411,0.0423,5.93e-06,0.817,0.113,0.191,0.49670499999999995
3wbPfKjEEte4jygJPOkMcG,backbeforestreetlights,We have no clue what to name this,self titled (EP),2022-09-20,92668,0,4,1,28,25,1.0769230769230769,21,6926,1.0,120.287,7,1,0.592,0.179,-16.324,0.0426,0.754,1.7e-06,0.427,0.0597,0.10596799999999999
3wbPmmCGvvFkL7LPGYkBc9,Mike Newport,Nice Day for Fishin' Ain't It,Baelin's Route (Original Motion Picture Soundtrack),2021-05-09,66901,0,1,1,11,13,1.2941176470588236,13,316,1.0,96.604,0,1,0.34,0.169,-12.016,0.0363,0.953,0.843,0.115,0.196,0.05746000000000001
3wbPoQnF0Ybp4R2XEQY2PA,Tía Armonía,Los Colores,Los Colores,2025-10-03,193815,0,1,1,6,1,1.0,1,3,1.0,120.022,0,1,0.768,0.152,-19.655,0.0705,0.667,0.0,0.109,0.541,0.116736
